Event,AvgAx,MinAx
250.0,-1.6655101518518518,-3.016947
251.0,-1.7161680125,-3.278414
252.0,-1.5869628472972974,-2.972465
253.0,-1.5444156101694915,-3.474278
254.0,-1.2112557875,-3.31039
255.0,-2.4352013975903612,-4.397834
256.0,-0.7253810977777778,-3.411247
257.0,-1.3457389065384617,-3.375026
258.0,-1.9544289297297297,-2.955412
259.0,-2.2005602333333334,-3.3243080000000003
260.0,-1.9014325892733328,-4.362712
261.0,-1.6428804345454544,-2.9992490000000003
262.0,-2.1838787980769228,-3.8089910000000002
263.0,-1.2430327107894736,-3.765689
264.0,-2.277128633333333,-3.1360580000000002
265.0,-3.0043418802941173,-4.100606
266.0,-2.1409773618367347,-5.298433
267.0,-3.1330400511627903,-4.598307
268.0,-0.7409826975378788,-2.91891
269.0,-2.3763965022222227,-3.078912
270.0,-1.8981561656435642,-6.069789
271.0,-1.4985283229885054,-3.4074169999999997
272.0,-1.939304307017544,-2.9504759999999997
273.0,-1.8446913944444447,-2.956614
274.0,-2.9173188090909092,-4.213005
275.0,-3.4049313515151516,-5.959536
276.0,-2.5512394236842106,-4.2119919999999995
277.0,-1.0511586654545453,-2.980943
278.0,-1.281146387931034,-2.960093
279.0,-2.1079648559322033,-3.9450089999999998
280.0,-2.025552669215686,-3.121193
281.0,-2.608779172881356,-4.536891000000001
282.0,-2.2600556366666664,-3.677496
283.0,-2.201555660869565,-2.964897
284.0,-1.7151248491525422,-3.384254
285.0,-2.220391393333334,-4.881587000000001
286.0,-2.0677430708333335,-2.9780830000000003
287.0,-2.529725724444444,-3.727706
288.0,-2.372841081578947,-3.3859410000000003
289.0,-2.246123717647059,-4.1319349999999995
290.0,-1.981719050877193,-3.109284
291.0,-1.2083641830985916,-3.974644
292.0,-1.5152913397058823,-2.961468
293.0,-1.7727931255319151,-3.7379860000000003
294.0,-2.1509438068965516,-3.366546
295.0,-1.9000625384615382,-3.7154269999999996
296.0,-1.8725939388888893,-2.962666
297.0,-2.254735214583333,-4.095868
298.0,-2.342320664,-4.679494999999999
299.0,-1.7339830081632652,-2.984221
300.0,-0.4978763675342466,-3.451908
301.0,-1.7956563686567164,-3.0176939999999997
302.0,-2.0671438,-2.9696759999999998
