Event,AvgAx,MinAx
152.0,-2.48013538,-3.1837869999999997
153.0,-1.8884882625,-3.04184
154.0,-1.7984828974999998,-2.96647
156.0,-1.928744660666667,-2.98928
157.0,-2.2778358818181816,-3.513521
158.0,-3.8202506677500003,-6.4756029999999996
159.0,-1.3235821803703705,-2.948284
160.0,-2.665714977777778,-4.237751
161.0,-2.057352796875,-3.533075
162.0,-2.6255788817647057,-3.526267
163.0,-1.6938011024390243,-2.9642
164.0,-2.950575006751724,-5.489441
165.0,-2.3404659214285712,-3.584261
166.0,-2.9684825215686272,-5.952632
167.0,-2.58865792,-3.931631
168.0,-2.307173461538462,-3.062019
169.0,-1.773794802298851,-3.338917
170.0,-1.8641587081875002,-4.028657
171.0,-2.2143446638888884,-3.308975
172.0,-1.9018915919999997,-3.2192819999999998
173.0,-2.13381926,-3.246744
174.0,-2.284903776923077,-3.573061
175.0,-1.3497658165116282,-3.3028690000000003
176.0,-2.4698918499999993,-3.568801
177.0,-1.7603679113402064,-3.37083
178.0,-0.6953926467909606,-4.159836
179.0,-1.5793757268292683,-3.759085
180.0,-1.6578014287096776,-3.218893
181.0,-1.8479683195121952,-3.125346
182.0,-2.0254052053333336,-3.041934
183.0,-1.1970882927083333,-3.4391190000000003
184.0,-2.713666205263158,-3.805506
185.0,-1.310347952238806,-3.216134
186.0,-2.7156698909090906,-4.454439
187.0,-2.507479355567164,-4.681178
188.0,-3.219182922051282,-5.380973
189.0,-2.2475067653846157,-3.60745
190.0,-2.423018459459459,-2.958945
191.0,-2.210075466666667,-3.1801909999999998
192.0,-1.8716304983333336,-3.8660980000000005
193.0,-0.9310562859649122,-3.7593900000000002
194.0,-1.4285119955555554,-3.7320330000000004
195.0,-1.9191547451612905,-4.318564
196.0,-1.5997034702040818,-3.911622
197.0,-1.6020727504201682,-3.7208550000000002
198.0,-1.419901987882353,-3.3915260000000003
199.0,-1.3532287483333334,-3.222474
200.0,-2.875515091111111,-5.41633
201.0,-1.7457183690140843,-3.1632919999999998
203.0,-1.9894696218749999,-3.9336830000000003
204.0,-2.1124636058333333,-3.8063290000000003
205.0,-0.85189055154321,-2.954998
206.0,-2.116842385714286,-3.437911
207.0,-1.6070217192771084,-3.4746989999999998
208.0,-2.0592065424242425,-5.258082
209.0,-2.7095783317241375,-4.378439
210.0,-1.9318169145000004,-3.7214730000000005
211.0,-1.4586522585714286,-3.018208
