Event,AvgSpeed,MaxSpeed
4173.0,33.72849628571428,33.90834
4174.0,33.942424456521735,34.18056
4175.0,33.898955459183675,34.53611
4176.0,33.72340424242424,33.847229999999996
4177.0,34.48775724691358,35.92223
4178.0,35.19550107712766,37.01389
4179.0,34.28558683544304,34.647220000000004
4180.0,33.80668567567567,34.03889
4181.0,33.639486639004154,34.18056
4182.0,34.03448828571428,34.53611
4183.0,33.747888333333336,33.90834
4184.0,35.33894213333333,37.42223
4185.0,33.554097894736834,33.57223
4186.0,33.72864166666666,33.89167
4187.0,34.727939528432735,35.68056
4188.0,34.73718328671328,35.46945
4189.0,33.848151904761906,34.01667
4190.0,34.70266941504178,36.42778
4191.0,34.648846354679804,36.025009999999995
4192.0,34.65947307920792,36.24445
4193.0,35.521959238410595,37.900009999999995
4194.0,35.26577552371541,38.40278
4195.0,34.24654350877193,34.91389
4196.0,35.496534157894736,37.99723
4197.0,33.916844375,34.18612
4198.0,34.183782915851275,35.11945
4199.0,34.26006991452992,34.74445
4200.0,35.67813143238434,38.20834
4201.0,33.59109639676113,34.325
4202.0,33.588792500000004,33.65278
4203.0,34.98064071428571,36.80834
4204.0,34.908466201923076,36.93612
4205.0,37.044628509719224,43.12778
4206.0,34.83166086206897,36.01112
4207.0,35.47572131868131,38.52223
4208.0,35.7405679811805,38.33334
4209.0,33.95143688172043,34.275009999999995
4210.0,33.8905179245283,34.155559999999994
4211.0,35.18028059545734,37.99445
4212.0,33.56845714285714,33.61111
4213.0,34.67275057942059,36.84167
4214.0,33.95259294117647,34.76667
4215.0,33.332038094059406,34.09445
4216.0,33.60684821428571,33.66389
4217.0,33.66919545454545,33.77778
4218.0,33.6115775,33.68056
4219.0,34.317894359550564,35.39445
4220.0,33.90022275590551,34.69445
4221.0,36.13467294749404,37.983340000000005
4222.0,33.73505294117646,33.93889
4223.0,34.16609223048327,34.91389
4224.0,33.569449,33.68056
4225.0,33.70238500000001,33.76945
4226.0,33.58571714285714,33.64167
4227.0,33.569447499999995,33.625
4228.0,33.662226000000004,33.79445
4229.0,37.70040104166666,38.94723
4230.0,34.32566915966387,35.43612
4231.0,35.66933785138249,40.005559999999996
4232.0,33.87049485507246,34.41945
4233.0,35.76494693430657,38.06667
4234.0,36.45870584070797,39.04445
4235.0,34.00751993464053,34.91389
4236.0,34.269635540540534,34.78334
4237.0,34.20898934782608,35.11111
4238.0,35.503277812263434,38.08889
4239.0,34.6406046179402,36.58889
4240.0,34.179536315789484,34.7
4241.0,34.7837146407767,36.95834
4242.0,34.872591780645166,37.58889
4243.0,35.92810326758148,38.03611
4244.0,33.84190420168068,34.113890000000005
4245.0,35.75786710467706,38.42778
4246.0,34.618989661303985,36.11111
4247.0,34.27396662175168,35.630559999999996
4248.0,35.165158463949844,36.347229999999996
4249.0,35.09874574468085,37.01389
4250.0,33.48621582733812,34.30556
4251.0,33.64039791666667,33.77778
4252.0,33.543054999999995,33.55
4253.0,33.94097575,34.575
4254.0,36.0473434382195,40.13612
4255.0,36.075671451335054,38.54167
4256.0,34.93235300957593,36.89167
4257.0,35.306676013289035,37.18889
4258.0,34.89289755813954,36.21667
4259.0,34.34204438202247,35.00278
4260.0,34.78284884114583,36.65278
4261.0,34.6721018962433,36.472229999999996
4262.0,33.52197464646465,33.93889
4263.0,33.81990694117648,33.96111
4264.0,33.96337711340206,34.575
4265.0,33.02624936781609,33.625
4266.0,37.13791703592814,43.60001
4267.0,34.889289795918366,35.81667
4268.0,36.73481947731756,39.20278
4269.0,33.727842222222215,33.897220000000004
4270.0,34.31296680555556,34.977779999999996
4271.0,36.05774612553091,39.74445
4272.0,35.58636915566038,38.280559999999994
4273.0,33.88558503816794,34.70278
4274.0,33.95543797101449,34.147220000000004
4275.0,33.54445,33.54445
4276.0,33.49058093457944,33.70834
4277.0,34.1707363768116,34.80834
4278.0,34.30477965384615,34.897220000000004
4279.0,35.63895078886311,41.03889
4280.0,34.51090293103448,36.11667
4281.0,33.64221607142857,34.05556
4282.0,34.368881975308646,34.863890000000005
4283.0,34.30408721830986,36.66111
4284.0,36.37501156037992,39.25
4285.0,35.39792382492864,37.27778
4286.0,33.81044196969697,34.11111
4287.0,34.23961860254083,35.02778
4288.0,34.10820301204819,34.73611
4289.0,33.851517563218394,34.727779999999996
4290.0,33.94348578838175,35.01389
4291.0,35.00210222753855,37.95
4292.0,34.09642210526315,34.56667
4293.0,33.80563747191011,34.383340000000004
4294.0,35.155945208333335,36.78611
4295.0,34.23315988372093,35.13612
4296.0,34.37790679775281,35.49445
4297.0,34.33204793814433,34.93056
4298.0,33.60077499999999,33.70278
4299.0,34.757497609195404,38.51667
4300.0,33.863337200000004,34.19445
4301.0,36.60438413392857,39.17223
4302.0,34.15452988123516,34.880559999999996
4303.0,33.81317277777778,34.09445
4304.0,35.85192821192054,39.37778
4305.0,33.877781481481485,34.20278
4306.0,33.927855,34.19445
4307.0,33.996815909090905,34.32778
4308.0,34.130384,34.575
4309.0,36.267269265750826,39.81389
4310.0,35.5766131280077,38.86667
4311.0,34.411128047058824,35.68889
4312.0,35.988786979472145,37.30556
4313.0,34.42763401515151,35.07778
4314.0,34.85833693333333,35.775009999999995
4315.0,34.7828188,35.56112
4316.0,33.64118117647059,33.725
4317.0,34.84920433515482,36.16389
4318.0,35.597561643564354,37.94445
4319.0,34.28093935085008,35.56667
4320.0,34.8934549593496,36.21667
4321.0,36.05115378089512,40.39167
4322.0,34.88754362235067,36.24445
4323.0,35.48608743383743,37.18889
4324.0,33.72426017857143,33.900009999999995
4325.0,34.71437851966874,36.225
4326.0,34.5854253699284,36.025009999999995
4327.0,36.346372418062636,38.23611
4328.0,36.79249307290988,39.8
