Event,Driver,Trip,Starttime,Endtime,Speedingtime
19104,96,129,95470,135250,39120
19105,96,129,137910,219510,81550
19106,96,129,224610,230080,5480
19107,96,129,231490,254830,22470
19108,96,129,260930,262980,2030
19109,96,131,11210,14930,2840
19110,96,131,16400,22270,5830
19111,96,131,23360,24710,1360
19112,96,132,35550,43850,8310
19113,96,132,53180,53320,140
19114,96,132,61410,77110,14640
19115,96,132,88350,89560,1220
19116,96,132,91900,122220,29280
19117,96,132,123230,135360,11290
19118,96,132,136940,143650,6490
19119,96,133,214670,235440,20730
19120,96,133,238240,238860,630
19121,96,133,241090,264040,21860
19122,96,133,287120,291570,4450
19123,96,133,293740,295470,1730
19124,96,133,305050,305200,140
19125,96,133,311530,341980,29540
19126,96,133,343950,345870,1460
19127,96,133,357780,361800,4030
19128,96,133,367650,385500,17860
19129,96,134,9690,36920,27240
19130,96,134,39110,48600,7950
19131,96,134,55000,60330,4540
19132,96,135,17480,30300,12330
19133,96,135,31370,54660,23300
19134,96,135,55690,70980,15300
19135,96,135,72320,74610,1740
19136,96,135,77890,127530,49170
19137,96,135,129530,146500,16980
19138,96,135,149740,176600,26460
19139,96,135,180850,182720,1360
19140,96,135,187900,190360,1700
19141,96,135,196600,204270,6260
19142,96,136,17930,19990,2070
19143,96,136,29770,35570,3850
19144,96,136,36770,38640,1790
19145,96,136,41400,74160,32770
19146,96,136,75240,75280,50
19147,96,136,76450,169300,92710
19148,96,136,181720,185880,3920
19149,96,136,187320,187570,260
19150,96,136,189640,190870,1240
19151,96,136,200380,225350,24850
19152,96,137,356590,364730,7130
19153,96,137,366070,366830,710
19154,96,137,368870,378270,9040
19155,96,137,381820,382720,900
19156,96,137,387660,390160,1230
19157,96,137,391440,407540,16060
19158,96,137,409230,415500,5530
19159,96,137,420320,421120,810
19160,96,137,423740,426640,2590
19161,96,137,428230,434400,4730
19162,96,137,436340,436870,500
19163,96,137,440450,441650,1180
19164,96,137,442800,449920,5750
19165,96,137,454840,458030,2340
19166,96,137,462430,463890,1470
19167,96,137,468240,475770,6970
19168,96,137,482530,487600,4300
19169,96,137,488990,489220,240
19170,96,137,497520,499910,2230
19171,96,138,9540,20990,11350
19172,96,138,31520,32540,1010
19173,96,138,36670,37230,80
19174,96,138,50640,60610,9980
19175,96,138,61880,64900,2090
19176,96,139,27280,45260,17740
19177,96,139,46320,49030,1880
19178,96,139,53420,53530,110
19179,96,139,63490,71980,8490
19180,96,139,74710,92300,17450
19181,96,139,105850,110750,4490
19182,96,139,111880,112130,260
19183,96,140,31540,69080,37280
19184,96,140,73380,83680,10310
19185,96,140,97290,118570,19340
19186,96,141,14730,28150,13330
19187,96,141,40020,46530,6520
19188,96,141,48030,62530,12750
19189,96,144,34530,52110,16130
19190,96,144,54000,68120,12560
19191,96,148,163400,164100,670
19192,96,148,168190,168690,510
19193,96,148,172070,173020,950
19194,96,148,214630,215420,800
19195,96,148,220340,220770,440
19196,96,148,221870,222470,570
19197,96,148,229350,229810,470
19198,96,148,235940,236810,870
19199,96,148,238890,241420,2540
19200,96,149,37230,38660,1440
19201,96,149,74360,75160,810
19202,96,150,17510,23850,5720
19203,96,150,28590,30970,2390
19204,96,150,33980,41630,6750
19205,96,150,45770,46020,260
19206,96,150,49940,53390,3450
19207,96,150,56330,57500,1180
19208,96,150,66170,103370,36070
19209,96,150,104650,130500,25860
19210,96,150,132400,134050,1660
19211,96,150,136270,144960,8190
19212,96,150,166670,188310,21650
19213,96,150,200250,200750,500
19214,96,150,205290,205580,300
19215,96,150,209870,210600,740
19216,96,151,12630,12910,130
19217,96,151,15020,19000,3970
19218,96,151,22750,33770,10730
19219,96,151,52640,111970,59340
19220,96,151,119970,122160,1740
19221,96,151,124080,135280,10880
19222,96,151,137970,217980,79450
19223,96,151,226880,251590,23830
19224,96,151,252590,255390,1820
19225,96,151,256830,259010,1730
19226,96,151,260240,262130,1900
19227,96,151,264560,266360,1810
19228,96,153,15140,16980,1850
19229,96,153,26590,35800,8430
19230,96,153,37350,38490,1150
19231,96,153,41870,52200,9250
19232,96,153,53640,55570,1400
19233,96,153,62250,70830,7270
19234,96,153,72160,73180,1020
19235,96,154,27350,35370,6930
19236,96,154,37130,37510,390
19237,96,154,43950,44320,370
19238,96,154,46570,48850,2290
19239,96,154,53250,59680,6430
19240,96,154,62040,64530,2500
19241,96,154,65900,78850,12960
19242,96,154,80410,83520,2710
19243,96,156,14710,15980,1210
19244,96,156,20700,21400,710
19245,96,156,30860,32240,1020
19246,96,156,39140,49610,10410
19247,96,156,61120,141060,77990
19248,96,156,142120,142730,620
19249,96,156,151280,152100,710
19250,96,156,154750,158340,3020
19251,96,156,163110,163750,630
19252,96,156,237670,241780,4060
19253,96,158,308590,309560,980
19254,96,158,317870,325310,6940
19255,96,158,327720,331660,3290
19256,96,158,333050,334040,590
19257,96,158,343710,344480,770
19258,96,158,349220,354560,5350
19259,96,158,359850,360230,360
19260,96,159,26700,49430,22680
19261,96,159,51970,54120,1620
19262,96,159,55580,56090,520
19263,96,160,32520,34510,2000
19264,96,160,37780,44260,5510
19265,96,160,50050,51160,1100
19266,96,160,54340,55930,1580
19267,96,160,68270,79680,11250
19268,96,162,34280,34550,240
19269,96,162,38840,39370,310
19270,96,162,40850,46060,4630
19271,96,164,49590,50360,770
19272,96,164,61700,63460,1770
19273,96,165,17150,28900,11760
19274,96,165,30780,33450,2050
19275,96,165,37730,50820,13100
19276,96,165,52480,52650,180
19277,96,165,54790,55450,650
19278,96,166,38140,63950,23580
19279,96,166,69350,73310,3970
19280,96,166,74960,75210,260
19281,96,166,76280,76550,280
19282,96,166,77730,81470,3090
19283,96,167,41550,44020,2480
19284,96,167,52990,53260,270
19285,96,167,57100,60820,3540
19286,96,167,62220,72580,10370
19287,96,168,9930,14740,4820
19288,96,168,18260,29930,9630
19289,96,168,31790,32310,530
19290,96,168,35160,37180,1310
19291,96,170,79470,81630,2160
19292,96,170,96760,97400,650
19293,96,170,99320,99320,10
19294,96,170,102890,114300,11420
19295,96,170,116150,116880,740
19296,96,171,14530,49090,34550
19297,96,171,57500,60770,3270
19298,96,171,63090,149600,84650
19299,96,171,150790,152090,1310
19300,96,171,159170,171890,11810
19301,96,171,190800,191000,200
19302,96,171,203410,203510,110
19303,96,171,204810,226420,21590
19304,96,171,231890,232440,550
