Driver,Trip,Tailgating,Total,Ratio
4,151,35660,261629,0.13629935404961208
4,158,3120,35440,0.08803611738148984
4,160,4830,33910,0.1424358596284282
4,163,62030,210919,0.2940925469372274
4,167,8360,78740,0.10617221234442469
4,169,15650,124480,0.12572300771208225
4,177,21780,82120,0.26522162688748174
4,186,18880,201910,0.09350700807290377
4,187,17070,215150,0.07933999535207995
4,189,75320,232750,0.32360902255639096
4,194,38840,310710,0.12500402304399602
4,199,37300,200340,0.18618348807028048
4,201,5480,210010,0.02609399552402266
4,205,95540,253289,0.37719609933278075
4,207,13440,272430,0.04933377381345667
4,208,48940,187349,0.2612223111822792
4,235,1210,178560,0.006776433691756272
4,239,42690,210110,0.20317928704012184
4,242,33490,218899,0.15299223389675656
4,251,30770,228379,0.1347315877047027
4,252,26460,279860,0.09454727363681839
4,279,27700,90950,0.3045629466739967
4,291,20220,210100,0.09623988576868157
4,294,14720,228200,0.0645048203330412
4,296,50840,212300,0.2394724446537918
5,1,10940,46250,0.23654054054054055
5,6,1780,25989,0.0684878799538284
5,9,23540,92280,0.2550931946250542
5,14,43260,96660,0.4475481067659839
5,18,34250,129619,0.26423391451936434
5,19,22470,142580,0.15759573572731095
5,20,9550,129100,0.07397366382649109
5,21,12490,111750,0.11176733780760627
5,22,15850,218530,0.07253008740218733
5,25,118420,175799,0.6736063708759955
5,26,10120,169080,0.05985332387035723
5,28,32310,118750,0.27208421052631576
5,49,1120,92359,0.01212646167171936
5,57,7700,116720,0.06596984235777931
5,62,790,4160,0.18990384615384615
5,63,4440,5460,0.8131868131868132
5,73,3120,27639,0.11287988422575979
5,82,1390,30039,0.04627163781624501
5,84,4080,33660,0.12121212121212122
5,93,5360,50870,0.10536662079811282
5,96,18800,43820,0.42902784116841625
5,102,2400,19870,0.12078510317060896
5,105,4230,130059,0.032523450715054594
5,109,4530,74460,0.060838033843674456
5,112,1700,72720,0.023377337733773377
5,113,1480,20430,0.07244248653940284
5,122,126740,208990,0.6064404995454328
5,125,34400,242329,0.14195518507819915
5,126,4360,114139,0.038198703346767136
5,128,10750,182860,0.05878814393525101
5,129,3120,24800,0.12580645161290321
5,131,2470,4230,0.5839243498817966
5,137,13340,105440,0.12651745068285278
5,143,700,144820,0.004833586521198729
5,145,4330,109520,0.039536157779401025
5,146,1510,90359,0.016710934041611336
5,147,16220,136860,0.1185152710799357
5,163,9960,118190,0.0842710889246129
5,166,3810,164670,0.023137183457824742
5,170,2400,45990,0.05218525766470972
5,172,12420,129220,0.09611515245318063
5,175,13400,81900,0.16361416361416362
5,182,1650,114230,0.014444541714085617
5,184,31050,135000,0.23
5,186,75560,141100,0.5355067328136074
5,189,4080,4580,0.8908296943231441
5,195,16950,30220,0.5608868299139642
5,208,22100,127580,0.17322464336102839
5,211,16490,131620,0.12528491110773438
5,212,42540,144200,0.2950069348127601
6,1,9110,312239,0.029176274660517556
6,12,22320,204390,0.10920299427564949
6,15,63820,152960,0.41723326359832635
6,48,34510,221640,0.15570294170727306
6,49,95650,181990,0.5255783284795867
6,61,4790,60609,0.07902986305890118
6,84,6510,182020,0.03576530051642677
6,85,38430,181900,0.21126992853216053
6,126,38230,192050,0.19906274407706326
6,130,3720,198130,0.01877555140564276
6,161,127130,185700,0.6845988152934841
6,164,10760,207290,0.05190795503883448
6,172,11680,347430,0.03361828281956077
7,12,37660,217890,0.1728395061728395
7,15,18120,178900,0.10128563443264393
7,36,3950,568720,0.006945421296947531
7,37,48990,295499,0.1657868020304569
7,38,1590,242150,0.006566177988849887
7,43,7490,57690,0.1298318599410643
7,67,6690,65499,0.10213740458015269
7,73,50010,520539,0.09607330848734008
7,80,12720,289620,0.043919618810855605
7,81,6850,246879,0.027746273493195077
7,93,3930,51910,0.075707956077827
8,22,12080,16630,0.7263980757666867
8,24,2420,16610,0.1456953642384106
8,76,185860,515170,0.36077411339946036
8,77,399870,585119,0.6833982772764563
8,78,178340,328790,0.5424130904224581
8,80,5540,265090,0.02089856275227281
8,84,136740,288420,0.4741002704389432
8,88,6160,247369,0.02490196871083802
8,89,92180,223639,0.4121802897513862
8,90,7100,94690,0.07498151863977189
8,93,24170,302630,0.0798665036513234
8,95,37810,101870,0.37115932070285657
8,96,50210,236440,0.21235831500592117
8,97,108690,402330,0.2701513682797703
8,126,52110,189740,0.27463897965637185
8,127,131910,379090,0.3479648632250917
8,128,241380,345800,0.6980335454019665
8,129,171240,398800,0.42938816449348044
8,130,2270,259900,0.008734128510965757
8,131,690,284539,0.0024249666127785204
8,133,7480,66740,0.1120767156128259
8,137,126120,313360,0.4024763849885116
8,138,40930,310880,0.13165851775604734
8,142,118300,440420,0.2686072385450252
8,143,106060,280120,0.3786234470941025
8,144,11860,288980,0.04104090248460101
8,145,17830,348850,0.05111079260427118
8,148,120770,287660,0.41983591740248905
8,150,244910,485410,0.5045425516573617
8,152,98120,239869,0.40905490474006756
8,208,12580,44530,0.282506175611947
8,209,11720,41479,0.28254580520732886
10,9,2390,25210,0.0948036493454978
10,16,10070,20510,0.4909800097513407
10,17,2100,26529,0.079155672823219
10,18,2320,21230,0.10927932171455487
10,27,1570,25600,0.061328125
10,30,9710,23139,0.41961970613656013
10,40,4990,27270,0.182984965163183
10,42,6080,20760,0.2928709055876686
10,43,3880,26450,0.14669187145557655
10,61,10830,20610,0.5254730713245997
10,62,3550,26780,0.13256161314413742
10,65,6850,21080,0.3249525616698292
10,70,12870,23139,0.556179775280899
10,71,4480,25879,0.17310664605873263
10,73,6530,21820,0.2992667277726856
10,92,7830,21389,0.3660589060308556
10,93,10510,25860,0.4064191802010827
10,94,12540,22270,0.5630893578805568
10,95,16130,27989,0.5762772418720973
10,97,4050,20810,0.1946179721287842
10,98,10150,25620,0.39617486338797814
10,100,2380,26279,0.09056316590563167
10,101,4670,28850,0.16187175043327556
10,113,7810,19580,0.398876404494382
11,1,1040,160980,0.0064604298670642305
