Driver,Trip,Speeding,Total,Ratio
14,190,354860,419510,0.8458916354794879
14,198,28320,86240,0.3283858998144712
14,200,41830,66550,0.62854996243426
14,205,64640,131580,0.49126006991944055
15,4,2350,343589,0.0068395471346663185
15,37,1300,44090,0.029485144023588115
15,67,1600,60860,0.02628984554715741
15,82,2130,21100,0.1009478672985782
15,146,350,53880,0.00649591685226429
15,176,23400,218630,0.10703014224946254
16,2,36020,81520,0.44185475956820414
16,3,3380,8890,0.38020247469066365
16,6,2700,6520,0.41411042944785276
16,8,5750,7920,0.726010101010101
16,10,230,8070,0.028500619578686492
16,13,3990,8120,0.49137931034482757
16,21,80630,123530,0.6527159394479074
16,22,2340,8720,0.268348623853211
16,27,4290,8430,0.5088967971530249
16,32,620,37040,0.01673866090712743
16,33,1270,26810,0.04737038418500559
16,36,1010,8570,0.11785297549591599
16,39,36970,82810,0.446443666223886
16,41,3320,7859,0.4223918575063614
16,42,2190,8190,0.2673992673992674
16,43,840,7409,0.11336032388663969
16,45,6380,7480,0.8529411764705882
16,47,3460,7880,0.43908629441624364
16,48,890,8300,0.10722891566265061
16,49,310,7780,0.03984575835475578
16,52,9780,26780,0.36519790888722925
16,56,11100,23360,0.4751712328767123
16,57,12010,25760,0.4662267080745341
16,58,180,8500,0.021176470588235293
16,62,6010,7470,0.8045515394912985
16,70,17320,61760,0.280440414507772
16,71,7310,63250,0.11557312252964427
16,72,4500,8290,0.5428226779252111
16,76,7060,23720,0.2976391231028668
16,78,3200,8850,0.3615819209039548
16,82,2350,8500,0.27647058823529413
16,93,2870,10310,0.27837051406401553
16,95,960,13490,0.07116382505559674
16,98,9500,25880,0.3670788253477589
16,104,9470,63760,0.14852572145545798
16,108,6220,7600,0.8184210526315789
16,110,5840,7250,0.8055172413793104
16,112,2180,7980,0.2731829573934837
16,115,17110,45260,0.3780380026513478
17,1,150760,306020,0.49264753937651135
17,27,40,83220,0.0004806536890170632
17,28,12190,69060,0.1765131769475818
17,57,23080,38380,0.6013548723293382
17,62,31320,77159,0.40590979782270614
17,64,23420,47800,0.4899581589958159
17,98,31290,47590,0.657491069552427
17,107,20900,49410,0.4229912973082372
17,116,19450,62609,0.3106532502795081
17,135,417130,509929,0.8180142372482498
17,136,289570,358840,0.8069613198082711
17,137,2070,8470,0.24439197166469895
17,139,386130,423279,0.9122330372330374
17,144,3410,87310,0.03905623639903791
17,152,890,8120,0.10960591133004927
17,153,5480,213580,0.025657833130442922
17,162,325480,405590,0.8024852683744669
17,163,458230,509239,0.8998311208860263
17,164,329010,387710,0.8485981790513527
17,174,10480,20890,0.501675442795596
17,175,11640,24460,0.4758789860997547
17,176,23080,77240,0.2988089073019161
17,177,2890,34440,0.08391405342624855
17,206,24850,38710,0.6419529837251357
17,222,8070,360280,0.022399245031642055
18,1,2310,159300,0.014500941619585688
18,2,102000,151569,0.6729563897868973
18,18,7740,298020,0.025971411314676868
18,25,43130,186490,0.23127245428709314
18,32,1030,144140,0.007145830442625225
18,34,14520,95409,0.15218530552353005
18,43,9730,162570,0.05985114104693363
18,49,920,141549,0.006499470151889793
18,53,13770,99250,0.1387405541561713
18,62,7930,30380,0.26102699144173797
18,65,21680,29270,0.7406901264092928
18,68,29210,30459,0.9589625738673672
18,71,61160,212340,0.2880286333239145
18,78,1120,192440,0.005819995842860112
18,80,34300,386040,0.08885089628017823
18,96,10160,386500,0.02628719275549806
18,103,33320,93110,0.3578562990011814
18,108,10110,31439,0.32156488549618323
18,119,140,204130,0.000685837456522804
18,126,17450,196339,0.0888764388306
18,129,5330,133740,0.03985344698669059
18,133,63910,113400,0.5635802469135802
18,135,61330,95840,0.6399207011686143
18,138,1000,21500,0.046511627906976744
18,150,1610,71040,0.02266328828828829
18,152,4190,306420,0.013674042164349585
18,153,4950,121950,0.04059040590405904
18,166,78860,211680,0.3725434618291761
18,172,45800,186740,0.24526079040376994
18,173,11010,385540,0.02855734813508326
18,185,360,204510,0.001760305119554056
18,188,56400,120709,0.46723552315466826
18,193,35620,59329,0.6003708073487275
18,201,13240,295580,0.04479328777319169
18,207,39410,190169,0.20723563127727826
18,212,5490,120040,0.04573475508163945
18,214,1160,57979,0.020006898930665748
18,217,1590,116509,0.013646897262037595
18,218,3430,43060,0.07965629354389224
18,219,24710,90800,0.27213656387665197
18,222,35950,94810,0.3791794114544879
18,231,550,59850,0.009189640768588136
18,233,39260,120220,0.32656795874230576
18,238,40670,121959,0.3334699901607085
18,239,11390,138200,0.08241678726483358
18,241,2030,74370,0.027295952669086996
18,242,10480,156619,0.06691354871663902
