Driver,Trip,Distance,SecInMotion
4,30,730.5715,24.4
4,30,6.255279,0.2
4,30,12.58167,0.4
4,30,1248.66,37.3
4,30,3658.983,112.9
4,31,5486.681,177.8
4,31,6226.647,189.6
4,31,394.272,11.4
4,31,4494.852,134.7
4,31,13811.61,437.1
4,31,3316.648,99.7
4,31,6253.768,192
4,31,22617.94,642.2
4,31,4058.077,113.5
4,31,1760.65,48.8
4,33,5961.42,177
4,33,8011.342,246.7
4,33,1846.239,54
4,33,22982.3,668.8
4,33,8536.594,264.3
4,33,16438.75,488.1
4,33,2379.117,68
4,33,17.04195,0.5
4,33,82.38334,2.7
4,33,5574.11,156.6
4,33,809.5892,28.4
4,33,1472.166,47.7
4,33,3618.157,123.8
4,38,2294.716,79.1
4,38,1574.368,48.1
4,38,1418.046,74.2
4,38,1684.205,55.5
4,38,4525.548,130.3
4,38,20.80389,0.6
4,38,598.8126,16.8
4,38,18478.42,895.7
4,38,3362.772,98.8
4,38,6233.316,173
4,38,5341.566,162.9
4,38,12973.62,369.1
4,38,4174.47,130
4,38,4054.89,111.9
4,38,1761.608,54.1
4,41,29777.58,885.1
4,41,8526.873,273.6
4,41,16443.5,490.4
4,41,2531.591,74.9
4,41,33.19556,1
4,41,84.14584,2.5
4,41,125.3972,3.6
4,41,4294.552,123.9
4,41,1018.03,28.7
4,41,2307.602,70.7
4,41,3594.811,109.7
4,44,5505.607,228.4
4,44,6209.713,182.7
4,44,6.9975,0.2
4,44,567.2445,16.2
4,44,18464.09,569.9
4,44,3241.969,94.7
4,44,6129.169,187.6
4,44,26863.61,820.1
4,44,1193.947,34.6
4,44,508.32,18.4
4,46,5938.044,170
4,46,4418.985,127.7
4,46,3545.533,106.6
4,46,1872.018,50.1
4,46,22972.6,634.8
4,46,8530.967,263.3
4,46,16403.47,521.7
4,46,2522.963,77.7
4,46,942.5712,30
4,46,4307.074,146.5
4,46,1108.206,34.2
4,46,741.1573,26.7
4,46,1512.482,96.2
4,46,3561.121,186.6
4,49,5503.173,395.2
4,49,6269.051,192.1
4,49,400.28,12.3
4,49,4535.337,137.3
4,49,13823.63,1144.8
4,49,3288.557,107.3
4,49,1343.883,42.1
4,49,4645.808,156.4
4,49,22766.8,745.5
4,49,7536.817,309.1
4,49,2330.968,114.8
4,49,3799.023,133.3
4,74,27084.08,798
4,74,2079.3,60.1
4,74,6110.225,171.2
4,77,2436.933,79.7
4,77,19092.51,599.7
4,77,3378.826,108.3
4,77,6295.412,200
4,80,29753.73,913.8
4,80,8538.988,280.6
4,80,10490.39,318.2
4,80,4151.451,122.2
4,80,1610.527,44.9
4,80,3419.594,102.6
4,80,5514.903,168.4
4,80,2320.792,71.4
4,80,3584.29,109.6
4,81,5487.264,175.4
4,81,544.9112,16.9
4,81,5578.928,167.7
4,81,197.2956,5.8
4,81,18334.85,558.3
4,81,3289.409,94.9
4,81,1351.777,39
4,81,4460.31,125
4,81,26790.8,680.7
4,81,1786.002,56.1
4,83,10203.02,311.1
4,83,19486.82,575
4,83,3354.986,111.3
4,83,5058.832,142.5
4,83,4807.395,174.7
4,83,11412.74,322.8
4,83,2352.974,70.7
4,83,66.75973,2
4,83,63.08667,1.9
4,83,4135.486,124.1
4,83,1020.103,29.9
4,83,2322.495,77
4,83,3625.479,128.5
4,85,4006.025,123.4
4,85,1434.023,55.9
4,85,6207.804,184.3
4,85,471.1606,13.9
4,85,4492.195,134.3
4,85,13885.22,685.7
4,85,3278.841,94.3
4,85,5975.764,163.5
4,85,26812.38,747.4
4,85,1858.117,63.7
4,97,4489.216,142.9
4,97,8048.492,242.1
4,97,1949.994,66.2
4,97,22935.71,647
4,97,8517.91,264
4,97,19024.14,589.7
4,97,48.88556,1.4
4,97,85.77056,2.5
4,97,4479.065,130.7
4,97,1103.913,37.2
4,97,804.0415,28.4
4,97,1492.298,45.4
4,97,3638.616,110.4
4,99,5481.17,263.7
4,99,6218.129,196.6
4,99,394.1306,12.4
