Driver,Trip,Hardbraking,Distance,Frequency
21,142,1,14.0397135770592,0.07122652428137805
21,144,1,17.0754602452414,0.05856357519140257
21,195,2,45.151726776000004,0.04429509440296937
21,214,2,42.768091183109995,0.046763835950430294
22,16,1,10.59324127674,0.09439981341647902
22,49,1,25.212630206009997,0.03966266081043887
22,53,1,25.138496788241998,0.03977962598255791
22,56,1,25.717336994317996,0.03888427484622302
23,86,2,144.73398250336615,0.013818454832841243
23,113,1,2.6728956248023,0.37412609408343983
23,171,2,52.775967179053296,0.03789603690662058
25,9,1,9.674940177416,0.10335981222233064
25,13,1,7.834131179594,0.12764657331814355
25,15,1,7.510450101769999,0.13314781224154973
25,37,2,19.724252803469696,0.10139801086143957
25,189,1,7.702474558349999,0.12982840675740148
25,220,3,11.91502948266,0.2517828432036962
25,270,1,7.956893951830701,0.12567718082631008
25,308,1,4.59547791503,0.21760522376342914
25,315,1,5.556781173752,0.17996029872898323
25,335,1,7.99092818249,0.12514190806910702
25,344,1,7.95514721241,0.12570477620326168
25,360,1,7.9701335756262,0.12546841160330638
25,404,2,7.9941425294999995,0.25018318007461043
25,430,2,15.256193635795999,0.1310942983384367
27,5,1,26.3151874190288,0.03800086938681231
27,15,2,30.070878410421997,0.06650953034038533
27,18,1,8.057535691092,0.12410742419739437
27,20,4,24.119095931616,0.1658436954411996
27,35,1,26.390567795899102,0.03789232606641349
27,47,1,7.9699751722575805,0.12547090528975127
27,61,4,18.447794589165,0.21682808645047102
27,77,1,24.793412080176097,0.04033329485938578
27,79,1,25.563045293125,0.03911896992448481
27,82,1,24.610835639573793,0.04063250897470615
28,35,1,11.726672973189999,0.08527567898296824
28,61,1,13.23352318484,0.07556566652980029
28,71,1,8.12598295199,0.12306203519109113
28,85,1,13.33984207732,0.07496340617856115
29,2,3,53.0473109452843,0.05655329076141773
29,68,2,27.3253909122573,0.07319199957365893
30,135,1,14.657726836899998,0.0682234026549435
30,165,1,4.968316629883001,0.2012754167045809
30,171,1,1.902782577512,0.5255461195716638
30,195,2,4.7926392373999995,0.4173066030909928
30,274,3,12.5490269638,0.23906235986694885
30,285,1,36.2154052526626,0.02761255860657472
31,68,1,3.14677426524,0.317785743656999
32,176,3,12.048939688619999,0.2489845644122067
32,203,2,9.992806288369,0.20014397780610185
32,315,1,9.875744157137,0.10125819220188287
32,349,1,3.34410087203,0.2990340418149411
32,438,1,6.16086553027,0.1623148557758207
32,440,1,18.05377051271,0.05539009146571305
32,507,2,12.958659991356399,0.15433694543525542
32,518,1,17.712688713680002,0.05645670265901936
33,57,1,2.46637970757,0.40545257363686704
33,322,1,15.138754830069999,0.06605563081143948
33,328,1,15.1801055930601,0.06587569459708968
33,400,3,34.949548281637504,0.08583801930213215
33,407,2,40.802561109573,0.04901653096307145
34,30,3,92.04558116518137,0.03259254775757587
34,566,1,6.60497420352,0.15140104551310257
35,44,2,33.4046193109297,0.05987195906602108
35,71,2,6.55581700145,0.3050725789871262
35,146,2,2.1982140003410002,0.9098295251007171
35,174,2,29.992226762836,0.0666839450039849
36,1,1,17.762873786003997,0.0562971967288275
36,2,1,24.279635073199998,0.04118678048434945
36,24,1,26.890706564011,0.03718756878401787
36,35,1,16.19368823305,0.06175245475944642
36,50,3,15.921820900457002,0.18842065984512435
36,61,1,14.883086551240002,0.06719036381043446
36,74,1,10.853538140700001,0.09213585349187382
36,77,5,18.81573458884379,0.2657350408718348
36,79,1,12.820609149700001,0.07799941393762867
36,82,1,26.451286562369997,0.0378053444637591
36,85,1,5.022442368609999,0.19910631653036925
36,89,1,43.7883917027179,0.02283710273693224
36,100,1,9.01680632427,0.11090401235616647
36,125,1,34.7283079956358,0.02879495310067127
36,130,2,3.25319754788,0.6147797576274865
36,148,3,3.317045179489999,0.9044193966816136
36,151,1,14.8297593351,0.06743197764734708
36,158,3,11.490379010960002,0.26108799345421724
36,160,1,7.66928905076,0.13039018263380012
36,166,4,20.16886676859,0.19832547092975014
36,173,1,26.875938649631998,0.03720800278034913
