Driver,Trip,Lanechange,Distance,Frequency
2,69,1,2.4405182881699994,0.4097490294776037
2,72,2,2.8685359639000003,0.6972197752336501
2,74,1,2.64024959686,0.3787520699517506
2,76,2,3.0340347565499997,0.6591882296939141
2,77,1,2.8664593453599996,0.34886243951749113
2,78,4,2.82362458304,1.416618917410571
2,79,1,2.86364516063,0.3492052764596018
2,81,1,3.02821376239,0.3302276782504138
2,82,4,2.86070110957,1.3982586249988387
2,83,1,2.4366092495,0.4104063875671502
2,85,2,2.43675589282,0.8207633788403185
2,92,1,2.4384864082699997,0.410090454721647
2,94,2,2.8208141265299997,0.7090151673553489
2,97,1,2.82204071091,0.3543534989180005
2,102,2,2.864830113219999,0.6981216759663451
2,103,2,2.82288080315,0.7084960859021172
2,104,3,2.8623657598,1.048084085595552
2,108,1,2.43709826769,0.4103240370967267
2,109,3,2.8655993692800004,1.046901402952838
2,110,2,2.43927430543,0.8199159871228324
2,114,1,3.0295497078899998,0.3300820572099057
2,115,3,2.2066464262,1.3595290864817935
2,119,1,2.86525947989,0.34900853029841156
2,121,1,3.0302263798199993,0.33000834744874796
2,122,2,2.86504572861,0.6980691372665511
2,123,2,2.82462001778,0.7080598407611275
2,126,1,2.8648673954199997,0.3490562954497224
2,127,1,2.82620699676,0.353831124594346
2,129,1,2.07528756546,0.48186093177807093
2,135,2,2.8669993158900002,0.6975934695607493
2,136,3,2.82755412692,1.060987647040321
2,137,1,2.8713631974000005,0.34826663548014164
2,138,1,2.44143667303,0.4095948959261464
2,141,2,2.83159116781,0.7063166543024759
2,143,3,2.44292485418,1.2280361366281114
2,145,1,2.07510923227,0.4819023425123899
2,147,2,2.4413503026,0.8192187732624978
2,150,8,2.8230628645599998,2.833801577864216
2,152,3,5.031126635730001,0.596287912670421
2,154,1,2.2055229892400003,0.4534071986003598
2,155,3,2.4431634602599996,1.2279162032329767
2,158,4,2.82662331466,1.4151160429670266
2,159,3,2.2074417798,1.3590392405600875
2,162,3,2.8301589099599997,1.060011149706926
2,164,3,2.82874777869,1.0605399401813431
2,168,3,2.44365993489,1.2276667293868135
2,170,2,2.44127263135,0.8192448374330152
2,175,2,2.4409712669,0.8193459821180002
2,176,2,2.86598648279,0.6978399975051615
2,177,6,2.8269265432199995,2.1224463771052657
2,179,2,2.86902249661,0.6971015397624711
2,187,7,2.21104261895,3.1659272146116404
2,189,3,2.82803755278,1.0608062813914754
2,190,1,2.2075275288599996,0.4529954833752017
2,193,1,2.8285166290499997,0.3535422029093268
2,194,1,2.2067793993800002,0.4531490552616869
2,195,2,2.4439352018,0.8183523026825612
2,196,1,2.87159993937,0.34823792349688865
2,197,2,2.44477094445,0.8180725497168978
2,199,1,2.44448511425,0.40908410289371433
2,207,4,2.82712041066,1.4148672214022138
2,208,3,2.20688627502,1.3593813301380073
2,209,3,2.44232896035,1.2283357601303972
2,211,4,2.87387539631,1.3918487924479683
2,216,2,2.2081016747400004,0.9057553929148194
2,217,1,2.44434344189,0.40910781310943206
2,218,2,2.20854346881,0.9055742068222155
2,228,3,2.86905045826,1.045642118758489
2,230,2,2.87035471389,0.6967779941349248
2,231,2,2.44514314508,0.8179480223987313
2,233,3,2.8679910224099996,1.0460283789448797
2,236,3,2.8301825220200003,1.0600023060911263
2,240,2,2.4444571526,0.8181775646477331
