Driver,Trip,TripTime,Distance
3,27,30,9.726563
3,27,30,9.699219
3,27,30,9.683594
3,27,30,9.710938
3,27,30,9.693359
3,27,30,9.667969
3,27,30,9.667969
3,27,30,9.667969
3,27,920,293.4414
3,27,30,9.421875
3,27,30,9.433594
3,27,30,9.433594
3,27,30,9.433594
3,27,30,9.433594
3,27,30,9.433594
3,27,30,9.433594
3,27,30,9.458984
3,27,30,9.482422
3,27,30,9.484375
3,27,30,9.492188
3,27,30,9.492188
3,27,30,9.492188
3,27,30,9.498047
3,27,30,9.542969
3,27,30,9.546875
3,27,30,9.550781
3,27,30,9.550781
3,27,30,9.550781
3,27,30,9.550781
3,27,30,9.554688
3,27,30,9.580078
3,27,30,9.609375
3,27,30,9.609375
3,27,30,9.609375
3,27,30,9.609375
3,27,30,9.552734
3,27,30,9.550781
3,27,30,9.550781
3,27,30,9.550781
3,27,920,294.3516
3,27,30,9.726563
3,27,30,9.738281
3,27,30,9.783203
3,27,30,9.791016
3,27,30,9.84375
3,27,30,9.871094
3,27,30,9.902344
3,27,30,9.951172
3,27,30,9.976563
3,27,30,10.01953
3,27,30,10.07617
3,27,30,10.07813
3,27,30,10.07813
3,27,30,10.06445
3,27,30,10.02148
3,27,30,9.964844
3,27,30,9.960938
3,27,30,9.935547
3,27,30,9.939453
3,27,381740,120573.3
3,28,46970,15357.58
3,42,42620,13963.38
3,43,44440,13770.81
3,57,691030,216182.8
3,57,159090,51057.14
3,57,449400,144136.5
3,69,14580,4482.56
3,70,11540,3537.433
3,73,12680,3875.781
3,90,17470,4489.364
3,90,18690,4561.531
3,92,12690,3875.074
3,102,530,67.6709
3,108,12710,3876.082
3,114,62410,19964.98
3,115,93270,20431.32
3,122,11840,3871.693
3,125,13770,3883.817
3,148,12070,3878.129
3,150,14530,3935.378
3,153,12490,3880.703
3,162,21530,4497.552
3,162,25280,5550.059
3,163,13710,3882.209
3,164,17840,4494.561
3,175,12240,3880.327
3,177,22160,5204.608
3,186,16750,507.2236
3,196,35260,11267.99
3,197,17320,4555.783
3,198,12270,3884.249
3,205,11400,3872.508
3,213,13390,3880.182
3,220,10990,2958.864
3,220,10,1.790039
3,220,10,1.708984
3,220,9690,2858.963
3,223,560,67.04785
3,225,17610,4556.921
3,231,11900,3513.707
3,237,119800,40220.92
3,239,19970,6291.687
3,241,17480,6234.394
3,242,19680,6590.158
3,250,120960,40698.46
3,258,12170,3888.726
3,260,12360,3885.145
3,261,19470,4562.3
3,262,12210,3879.25
3,262,11550,3501.762
3,277,15020,4493.504
3,277,17530,4562.188
3,280,9880,2958.528
3,280,3530,577.9102
3,284,11430,3881.166
3,287,12360,3885.598
3,291,11840,3886.16
3,291,17170,4563.767
3,302,11550,3882.901
3,303,16690,4561.223
3,306,14670,4246.723
3,306,15180,4867.95
3,307,17040,5499.714
3,307,30590,9682.662
3,307,13640,4239.676
