Driver,Trip,Tailgating,Total,Ratio
2,78,5220,19680,0.2652439024390244
2,82,3020,15410,0.19597663854639844
2,83,4840,12440,0.3890675241157556
2,91,5380,10580,0.5085066162570888
2,92,7310,12030,0.6076475477971738
2,93,4660,10870,0.42870285188592455
2,94,4960,18740,0.2646744930629669
2,96,4430,10430,0.4247363374880153
2,97,3860,15210,0.25378040762656146
2,102,3020,17120,0.1764018691588785
2,103,1160,19670,0.058973055414336555
2,104,2590,16540,0.156590084643289
2,108,6390,12070,0.5294117647058824
2,109,1100,19080,0.057651991614255764
2,113,13070,13780,0.9484760522496372
2,115,1390,10830,0.1283471837488458
2,116,6450,24390,0.2644526445264453
2,119,4270,17300,0.2468208092485549
2,121,3770,17650,0.21359773371104815
2,122,5870,18180,0.32288228822882287
2,123,7790,18470,0.42176502436383323
2,127,6410,16970,0.37772539776075426
2,129,1190,11900,0.1
2,135,3630,16880,0.21504739336492892
2,136,6940,22630,0.30667255855059655
2,137,14640,29750,0.49210084033613444
2,138,2180,12220,0.1783960720130933
2,139,7170,10700,0.6700934579439253
2,142,4920,10900,0.45137614678899085
2,144,7960,11480,0.6933797909407665
2,145,9880,11190,0.8829311885612153
2,150,880,18660,0.04715969989281887
2,152,6640,27010,0.24583487597186227
2,154,3460,12380,0.27948303715670436
2,156,6820,10470,0.6513849092645654
2,158,6210,17440,0.35607798165137616
2,159,8910,11920,0.74748322147651
2,161,4550,11260,0.40408525754884544
2,162,690,18740,0.0368196371398079
2,163,5090,11150,0.4565022421524664
2,169,6610,11430,0.5783027121609798
2,173,1750,11300,0.15486725663716813
2,174,3990,18020,0.2214206437291898
2,177,3520,20130,0.17486338797814208
2,179,3880,16820,0.23067776456599287
2,187,10040,12670,0.7924230465666929
2,189,4630,18310,0.2528672856362643
2,190,9150,11860,0.7715008431703204
2,194,4530,10790,0.4198331788693234
2,195,1930,11240,0.17170818505338079
2,196,7170,22980,0.31201044386422977
2,197,6630,11690,0.5671514114627887
2,201,1750,17750,0.09859154929577464
2,204,8240,10860,0.7587476979742173
2,209,3190,11810,0.2701100762066046
2,211,6220,26770,0.2323496451251401
2,215,4310,18820,0.2290116896918172
2,216,4430,12170,0.3640098603122432
2,218,6860,11450,0.5991266375545852
2,228,8680,43770,0.1983093442997487
2,230,8630,28870,0.29892622099064775
2,231,2950,11220,0.2629233511586453
2,233,4420,15460,0.2858990944372574
2,236,4220,19770,0.21345472938796156
2,238,7990,10380,0.7697495183044316
2,240,3510,11790,0.29770992366412213
2,241,3150,42350,0.0743801652892562
2,242,6390,21910,0.2916476494751255
2,243,8600,21340,0.4029990627928772
2,246,9900,13780,0.7184325108853411
2,247,5660,15630,0.3621241202815099
2,248,9230,12480,0.7395833333333334
2,252,1410,19020,0.07413249211356467
2,255,8770,48370,0.1813107297911929
2,256,5690,20790,0.2736892736892737
2,260,3670,12550,0.29243027888446216
2,262,1270,11050,0.11493212669683257
2,263,4580,23980,0.19099249374478733
2,264,6790,13340,0.5089955022488756
2,265,7260,12170,0.5965488907148726
2,267,1480,10830,0.13665743305632502
2,268,6310,16620,0.3796630565583634
2,270,4430,10940,0.40493601462522855
2,271,7320,15640,0.4680306905370844
2,272,3220,11850,0.2717299578059072
2,273,3410,11650,0.2927038626609442
2,276,6770,10730,0.6309412861136999
2,277,12950,20210,0.640771895101435
2,279,8360,27960,0.2989985693848355
2,280,13050,28400,0.4595070422535211
3,2,5910,26290,0.22480030429821224
3,26,365780,793810,0.4607903654526902
3,27,240140,432660,0.5550316645865113
3,28,630,46970,0.013412816691505217
3,42,13260,42620,0.31112153918348195
3,57,288100,1299520,0.22169724205860625
3,69,660,14580,0.04526748971193416
3,90,6150,36160,0.1700774336283186
3,108,11310,12710,0.8898505114083399
3,114,30280,62410,0.4851786572664637
3,115,36630,93270,0.39273078160180125
3,125,2350,13770,0.17066085693536673
3,148,3060,12070,0.2535211267605634
3,150,8570,14530,0.5898141775636614
3,153,2180,12490,0.1745396317053643
3,162,4610,46810,0.09848323007904294
3,163,7030,13710,0.512764405543399
3,164,910,17840,0.05100896860986547
3,175,5630,12240,0.4599673202614379
3,177,5310,22160,0.23962093862815884
3,196,8380,35260,0.23766307430516165
3,197,2900,17320,0.1674364896073903
3,198,9980,12270,0.8133659331703341
3,213,5220,13390,0.3898431665421957
3,225,9130,17610,0.5184554230550823
3,231,5500,11900,0.46218487394957986
3,237,50310,119800,0.41994991652754593
3,239,13930,19970,0.6975463194792189
3,241,2060,17480,0.11784897025171624
3,242,10390,19680,0.5279471544715447
3,250,93690,120960,0.7745535714285714
3,258,6430,12170,0.5283483976992605
3,260,2310,12360,0.18689320388349515
3,261,1460,19470,0.07498715973292244
3,262,13620,23760,0.5732323232323232
3,277,10820,32550,0.33241167434715824
3,280,7090,13410,0.5287099179716629
3,291,12610,29010,0.43467769734574285
3,302,7360,11550,0.6372294372294373
3,306,19070,29850,0.6388609715242881
3,307,31940,76360,0.4182818229439497
