Event,Driver,Trip,Starttime,Endtime
611,34,35,28660,33660
612,34,42,53850,54160
613,34,42,107010,107800
614,34,47,25980,26470
615,34,47,28090,28890
616,34,51,39720,40680
617,34,51,47150,47650
618,34,55,36540,37340
619,34,58,55200,56290
620,34,60,38280,38800
621,34,61,28890,32420
622,34,62,31030,31610
623,34,62,32860,33320
624,34,63,31400,36070
625,34,76,37090,37590
626,34,93,25650,26080
627,34,101,83880,84830
628,34,101,85760,86070
629,34,142,33240,33600
630,34,158,30820,31130
631,34,158,31220,31350
632,34,165,33150,33430
633,35,1,85620,86200
634,35,11,39280,39460
635,35,11,40230,40500
636,35,363,602750,603270
637,35,363,608280,608620
638,35,363,696350,697590
639,35,363,700390,703860
640,35,363,999710,1000550
641,35,363,1212180,1212690
642,35,363,1215230,1215340
643,35,373,53380,53580
644,35,390,14580,14800
645,35,391,101480,104370
646,35,399,19700,20100
647,35,410,31790,33260
648,35,458,55990,56270
649,35,458,90270,90940
650,35,479,22330,22540
651,35,487,56890,57380
652,35,487,60580,63590
653,35,498,55150,57070
654,35,555,105830,106480
655,35,562,69600,69830
656,35,590,157880,158070
657,37,39,29830,30000
658,37,63,53060,54940
659,37,72,28900,29200
660,37,77,43020,43250
661,37,77,62270,62500
662,37,348,64520,65130
663,37,348,65900,66340
664,38,91,70390,73860
665,38,99,95990,96840
666,38,100,22360,23150
667,38,103,44090,44910
668,38,198,71070,71370
669,38,209,41460,41770
670,38,232,27790,29260
671,38,232,94450,94770
672,38,232,146970,147980
673,38,232,178240,178650
674,38,232,187070,189040
675,38,249,26300,26480
676,38,256,66300,66570
677,38,256,66640,66920
678,38,269,59730,60110
679,38,282,46660,47110
680,38,310,92460,92810
681,38,310,95180,95660
682,38,310,96320,96630
683,38,333,80400,81090
684,38,333,81780,82120
685,38,365,112940,113460
686,38,370,46470,46810
687,38,384,37670,37780
688,38,398,36870,37560
689,38,398,39720,40300
690,38,410,75160,75490
691,38,421,62340,62800
692,38,445,130660,132500
693,38,460,144410,148180
694,39,95,101740,104370
695,39,96,37300,38580
696,39,309,47840,48090
697,39,335,46400,46650
698,40,10,278580,278890
699,40,10,298820,299280
700,40,10,346970,347390
701,40,10,360030,360460
702,40,10,362210,362890
703,40,17,75820,77200
704,40,40,181680,182450
705,40,40,182640,182870
706,40,40,230470,230830
707,40,40,230920,231210
708,40,40,318160,322500
709,40,122,114540,115400
710,40,122,127590,127950
711,40,122,154320,154880
712,40,122,155880,156570
713,40,122,177600,178170
714,40,122,345670,345980
715,40,123,165330,166350
716,40,123,182430,182480
717,40,132,84860,85110
718,40,132,224060,225040
719,40,132,225790,226620
720,40,159,154880,155690
721,40,159,159370,165570
722,40,203,157330,158190
723,40,221,138760,140310
724,40,235,269380,269800
725,40,297,151540,151700
726,41,1,211400,211980
727,41,209,46210,52690
728,41,362,61840,64390
729,41,362,88180,89830
730,41,362,117130,118170
731,42,37,51720,52130
732,42,37,68790,68860
733,43,8,84100,84450
734,43,149,262080,264210
735,43,149,279870,281090
736,43,155,68450,69240
737,43,638,47910,48660
738,43,687,57160,59050
739,44,1,81470,81970
740,44,17,51010,51600
741,44,51,212380,212670
742,44,63,85360,86020
