Event,Driver,Trip,Starttime,Endtime
531,68,55,76950,77550
532,68,69,32600,32850
533,68,108,80390,84390
534,68,117,49240,49860
535,68,128,48820,49580
536,69,2,127630,127870
537,70,9,488750,489190
538,70,9,560500,560970
539,70,9,569300,570030
540,70,34,45140,45340
541,70,102,125550,126290
542,70,102,133790,134040
543,70,274,227830,239140
544,70,316,50750,53030
545,71,36,43370,44530
546,71,36,86290,87070
547,71,212,36520,37040
548,71,212,42520,43150
549,72,15,23620,23950
550,72,15,30840,31050
551,72,15,40600,40860
552,72,23,31010,31210
553,72,23,33910,34630
554,72,23,41230,41500
555,72,24,133620,133750
556,72,26,177710,178260
557,72,33,112090,112140
558,72,36,89150,90640
559,72,36,116140,116770
560,72,36,135700,135920
561,72,46,185200,185260
562,72,67,94080,94400
563,72,71,151980,152390
564,72,76,52640,52890
565,72,76,56590,56900
566,72,76,58030,58460
567,72,76,69720,69940
568,72,79,183270,183450
569,72,92,34220,34400
570,72,127,181210,181540
571,73,47,386560,386810
572,73,192,335710,335790
573,73,192,425420,426020
574,73,209,283460,283910
575,74,51,97830,98300
576,74,109,31890,32170
577,74,181,183130,183950
578,75,62,104830,106990
579,75,187,718340,720620
580,76,37,48900,49130
581,76,37,62340,62580
582,76,92,51560,51780
583,76,93,113530,114440
584,76,138,72820,73030
585,76,183,138790,139730
586,76,183,140250,144350
587,76,199,116650,116820
588,76,199,137380,138110
589,77,136,104890,107570
590,78,1,133500,133780
591,78,12,131450,131680
592,78,36,124620,125030
593,78,38,60430,60710
594,78,60,145560,145700
595,78,60,479000,479280
596,78,60,511210,511440
597,78,65,67150,67530
598,78,73,145790,146120
599,78,73,148610,148870
600,78,140,34000,34430
601,78,182,17290,17500
602,78,182,22520,22960
603,78,187,70780,71070
604,78,224,41530,41710
605,78,251,159560,159890
606,78,251,185540,186000
607,81,70,147750,148040
608,81,99,95210,95660
609,81,174,78010,78090
610,81,209,243160,245940
611,82,2,217100,218060
612,82,57,48580,49350
613,82,163,85700,85830
