Driver,Trip,StartTime,Risky Level,Age,Gender,Brake Reaction Time,Brake Duration,Max Deceleration,Warning TH,Warning TTC,Brake TH,Brake TTC
70.0,27.0,72126.0,0.0,3.0,1.0,500.0,0.0,-0.02387453,2.650158587899135,2.67680608365019,-1.0,-1.0
76.0,49.0,150848.0,0.0,3.0,1.0,500.0,0.0,-0.1957575,0.8539083189689135,0.8627450980392157,-1.0,-1.0
84.0,9.0,134932.0,0.0,2.0,2.0,500.0,0.0,0.07144494,0.21107294711205468,1.6231884057971016,-1.0,-1.0
86.0,5.0,33932.0,0.0,2.0,1.0,500.0,0.0,-0.20827220000000002,1.5656565656565655,1.5897435897435896,-1.0,-1.0
86.0,36.0,86589.0,0.0,2.0,1.0,500.0,0.0,-0.5274038000000001,2.924964341243546,2.924731182795699,-1.0,-1.0
88.0,52.0,73233.0,0.0,2.0,2.0,500.0,0.0,-0.3520596,2.6287463093785366,3.3777777777777778,-1.0,-1.0
98.0,20.0,225839.0,0.0,1.0,2.0,500.0,0.0,-0.08007888,2.9231313882600545,2.926829268292683,-1.0,-1.0
99.0,38.0,5709.0,0.0,3.0,2.0,500.0,0.0,-0.3387045,2.824082932019382,2.807017543859649,-1.0,-1.0
108.0,51.0,211172.0,0.0,2.0,1.0,378.0,130.0,-0.9280059000000002,1.7415730337078652,3.6204379562043796,0.0,
108.0,76.0,37379.0,0.0,2.0,1.0,500.0,0.0,0.044088699999999995,2.2432940139162256,2.2439024390243905,-1.0,-1.0
109.0,64.0,52510.0,0.0,2.0,1.0,500.0,0.0,-0.5400104,0.4712042061033735,3.2,-1.0,-1.0
6.0,48.0,39811.0,1.0,0.0,-1.0,500.0,0.0,0.3213661,0.5468006692840192,2.909090909090909,-1.0,-1.0
21.0,76.0,98175.0,1.0,0.0,-1.0,355.0,150.0,-0.6038212,2.82405720195102,2.847457627118644,0.0,
32.0,68.0,73625.0,1.0,0.0,-1.0,500.0,0.0,-0.3344072,2.2648285605666385,3.0825688073394497,-1.0,-1.0
35.0,37.0,23035.0,1.0,0.0,-1.0,500.0,0.0,-0.3859417,2.4723188584950644,2.5047923322683707,-1.0,-1.0
35.0,84.0,29828.0,1.0,0.0,-1.0,500.0,0.0,0.45024490000000006,2.798715754518557,2.8638132295719845,-1.0,-1.0
35.0,84.0,34256.0,1.0,0.0,-1.0,500.0,0.0,-0.002219345,2.5397698072165316,3.371900826446281,-1.0,-1.0
35.0,107.0,15064.0,1.0,0.0,-1.0,500.0,0.0,0.6029903,2.38276299112801,2.41025641025641,-1.0,-1.0
