Driver,Trip,StartTime,Risky Level,Age,Gender,Brake Reaction Time,Brake Duration,Max Deceleration,Warning TH,Warning TTC,Brake TH,Brake TTC
5.0,170.0,45919.0,0.0,3.0,1.0,500.0,0.0,-0.9700443999999999,0.34360085575354943,2.4444444444444446,-1.0,-1.0
8.0,132.0,37288.0,0.0,2.0,2.0,500.0,0.0,-1.634059,2.3113958750829213,2.293906810035842,-1.0,-1.0
13.0,63.0,349106.0,0.0,2.0,2.0,500.0,0.0,-1.819348,2.6582268867172196,2.6308724832214767,-1.0,-1.0
18.0,166.0,229130.0,0.0,2.0,1.0,500.0,0.0,-1.239967,0.28438507888368114,2.1818181818181817,-1.0,-1.0
18.0,242.0,110305.0,0.0,2.0,1.0,500.0,0.0,-1.322783,0.2121568930532256,1.7230769230769232,-1.0,-1.0
19.0,75.0,66214.0,0.0,1.0,2.0,500.0,0.0,-1.316119,1.8147441154086519,1.8156028368794326,-1.0,-1.0
19.0,79.0,50566.0,0.0,1.0,2.0,500.0,0.0,-0.33791109999999996,2.6880345746808123,2.7219917012448134,-1.0,-1.0
19.0,83.0,788071.0,0.0,1.0,2.0,59.0,50.0,-3.039257,2.0273528515924615,2.0119760479041915,0.0,
20.0,154.0,61514.0,0.0,2.0,1.0,500.0,0.0,-0.6971804,0.8469922599023983,0.8571428571428571,-1.0,-1.0
20.0,154.0,69745.0,0.0,2.0,1.0,500.0,0.0,-1.25015,1.5404361406036169,1.5355086372360844,-1.0,-1.0
20.0,154.0,126647.0,0.0,2.0,1.0,500.0,0.0,-1.540641,1.4342629482071712,1.4472361809045227,-1.0,-1.0
20.0,154.0,138959.0,0.0,2.0,1.0,500.0,0.0,-0.1497646,2.5588626367352236,2.5548902195608783,-1.0,-1.0
20.0,164.0,197591.0,0.0,2.0,1.0,500.0,0.0,-0.867094,1.707895049849187,1.703422053231939,-1.0,-1.0
22.0,82.0,185549.0,0.0,2.0,2.0,500.0,0.0,-1.011523,0.22403978946660927,2.8,-1.0,-1.0
22.0,108.0,26220.0,0.0,2.0,2.0,500.0,0.0,-0.7122619000000001,2.2239383613243775,2.2145328719723185,-1.0,-1.0
22.0,138.0,343395.0,0.0,2.0,2.0,500.0,0.0,-1.2998129999999999,2.3863010411564014,3.408284023668639,-1.0,-1.0
23.0,95.0,35492.0,0.0,2.0,2.0,500.0,0.0,-0.32616209999999995,1.9251335478418923,3.5692307692307694,-1.0,-1.0
28.0,63.0,4844.0,0.0,2.0,2.0,500.0,0.0,-1.945589,1.6289586350743124,1.6283185840707965,-1.0,-1.0
30.0,83.0,175948.0,0.0,2.0,2.0,52.0,10.0,-0.7498613000000001,1.7153996101364524,3.4174757281553396,1.4201183431952662,2.5043478260869567
30.0,83.0,182088.0,0.0,2.0,2.0,232.0,280.0,-1.106933,2.1909760496097417,3.80327868852459,7.1983817390805,14.099009900990099
30.0,214.0,49449.0,0.0,2.0,2.0,500.0,0.0,-1.150015,2.357048911907654,2.3684210526315788,-1.0,-1.0
31.0,58.0,80889.0,0.0,2.0,1.0,1.0,160.0,-3.992778,0.8579596347151061,4.067796610169491,0.8579596347151061,4.067796610169491
31.0,77.0,43586.0,0.0,2.0,1.0,500.0,0.0,-0.28019340000000004,0.5552343678969041,3.2,-1.0,-1.0
37.0,309.0,209383.0,0.0,1.0,2.0,500.0,0.0,-1.647202,0.4182803379891033,3.130434782608696,-1.0,-1.0
38.0,152.0,23988.0,0.0,2.0,1.0,500.0,0.0,-0.1452359,2.194674986923395,2.2119815668202767,-1.0,-1.0
38.0,182.0,94259.0,0.0,2.0,1.0,500.0,0.0,-0.2603029,0.24560799183844645,2.4615384615384617,-1.0,-1.0
39.0,74.0,76711.0,0.0,2.0,2.0,500.0,0.0,-1.1997389999999999,0.20569746721770082,1.3493975903614457,-1.0,-1.0
39.0,107.0,143767.0,0.0,2.0,2.0,500.0,0.0,-1.386072,2.3330705683147808,2.336283185840708,-1.0,-1.0
40.0,136.0,184240.0,0.0,2.0,2.0,500.0,0.0,-1.010702,0.2244788403038289,2.9473684210526314,-1.0,-1.0
40.0,140.0,91803.0,0.0,2.0,2.0,500.0,0.0,-0.5870411,2.3861235240302943,2.3797468354430378,-1.0,-1.0
40.0,179.0,116329.0,0.0,2.0,2.0,500.0,0.0,-0.7183082,0.25177025963808025,2.9767441860465116,-1.0,-1.0
40.0,183.0,92937.0,0.0,2.0,2.0,500.0,0.0,-0.6967135999999999,2.231511537693084,2.2193548387096773,-1.0,-1.0
40.0,186.0,419340.0,0.0,2.0,2.0,500.0,0.0,-0.5500044,2.393351270171464,2.3850931677018634,-1.0,-1.0
40.0,211.0,92890.0,0.0,2.0,2.0,500.0,0.0,-0.7971760999999999,2.0646237298787313,2.05,-1.0,-1.0
40.0,220.0,427776.0,0.0,2.0,2.0,500.0,0.0,-0.8940844000000001,2.5921219822109274,2.5741324921135647,-1.0,-1.0
40.0,232.0,167321.0,0.0,2.0,2.0,500.0,0.0,-1.125808,2.5770633994411454,2.5620915032679736,-1.0,-1.0
42.0,110.0,14744.0,0.0,2.0,2.0,216.0,230.0,-1.887001,3.242669976309435,3.250996015936255,4.548367475506701,18.482758620689655
43.0,79.0,48550.0,0.0,1.0,2.0,230.0,280.0,-1.486191,1.9151547174925814,1.92,0.0,
43.0,84.0,167820.0,0.0,1.0,2.0,500.0,0.0,-1.369536,0.40061633281972264,2.888888888888889,-1.0,-1.0
43.0,109.0,8306.0,0.0,1.0,2.0,500.0,0.0,-1.8465610000000001,0.7919048320449041,0.7868852459016393,-1.0,-1.0
43.0,117.0,12370.0,0.0,1.0,2.0,450.0,60.0,-1.6967470000000002,2.233786671931678,2.2044444444444444,0.0,
43.0,148.0,215449.0,0.0,1.0,2.0,500.0,0.0,-1.367859,0.45801521722843863,3.393939393939394,-1.0,-1.0
43.0,149.0,183344.0,0.0,1.0,2.0,500.0,0.0,-1.687893,2.9810972511691087,2.6861313868613137,-1.0,-1.0
43.0,187.0,64286.0,0.0,1.0,2.0,34.0,320.0,-4.339597,1.7007877076783275,3.7333333333333334,1.5873745243098054,3.1020408163265305
43.0,195.0,104619.0,0.0,1.0,2.0,51.0,240.0,-2.868891,2.8036207625545377,3.5238095238095237,2.4694540114351153,3.065868263473054
43.0,201.0,33257.0,0.0,1.0,2.0,13.0,190.0,-3.5189510000000004,0.3413130911916051,4.129032258064516,0.3423679968091302,3.878787878787879
43.0,203.0,61360.0,0.0,1.0,2.0,50.0,40.0,-3.4956400000000003,1.043694260203416,4.392156862745098,0.9238664735785738,3.0
49.0,154.0,215504.0,0.0,3.0,2.0,500.0,0.0,-0.8604231999999999,2.0031152448287575,3.669724770642202,-1.0,-1.0
50.0,367.0,44559.0,0.0,3.0,2.0,500.0,0.0,-1.220604,0.2761912974577205,1.945945945945946,-1.0,-1.0
51.0,101.0,19725.0,0.0,3.0,1.0,500.0,0.0,-1.212294,2.230034710188908,2.242424242424242,-1.0,-1.0
53.0,183.0,48454.0,0.0,2.0,1.0,500.0,0.0,-0.9333469000000001,2.782401240808266,2.7733333333333334,-1.0,-1.0
53.0,217.0,34158.0,0.0,2.0,1.0,500.0,0.0,-1.310763,2.937853107344633,2.939929328621908,-1.0,-1.0
56.0,71.0,7731.0,0.0,3.0,1.0,500.0,0.0,-1.337689,2.836468885672938,2.8405797101449277,-1.0,-1.0
56.0,80.0,86436.0,0.0,3.0,1.0,500.0,0.0,-0.2281615,2.585159461252768,2.6108786610878663,-1.0,-1.0
58.0,77.0,37507.0,0.0,3.0,1.0,500.0,0.0,-1.511927,2.3080069672346495,3.6862745098039214,-1.0,-1.0
58.0,90.0,15630.0,0.0,3.0,1.0,500.0,0.0,-0.44965839999999996,2.2776071873000623,2.2857142857142856,-1.0,-1.0
58.0,120.0,338461.0,0.0,3.0,1.0,109.0,200.0,-1.412341,2.8203334762302292,2.801556420233463,2.196697459196345,2.1673306772908365
58.0,177.0,262998.0,0.0,3.0,1.0,12.0,500.0,-1.675485,0.925346280671206,3.5384615384615383,0.8855096409862163,3.3207547169811322
62.0,498.0,396828.0,0.0,2.0,1.0,500.0,0.0,-1.1917309999999999,1.5949363050794165,1.5870445344129556,-1.0,-1.0
62.0,501.0,72507.0,0.0,2.0,1.0,23.0,60.0,-1.873652,0.7252215370490301,3.076923076923077,0.6913978463320981,2.512396694214876
62.0,537.0,508782.0,0.0,2.0,1.0,500.0,0.0,-0.5043429,1.628345146751214,2.704225352112676,-1.0,-1.0
62.0,617.0,26680.0,0.0,2.0,1.0,500.0,0.0,-1.111866,2.5622770590183914,2.555133079847909,-1.0,-1.0
65.0,138.0,59845.0,0.0,1.0,2.0,500.0,0.0,-1.733783,2.3235179223102738,2.3202416918429005,-1.0,-1.0
67.0,86.0,219027.0,0.0,3.0,1.0,500.0,0.0,-1.132499,1.907752399175286,3.4015748031496065,-1.0,-1.0
67.0,87.0,115149.0,0.0,3.0,1.0,500.0,0.0,-1.851391,0.4771766412490577,3.3684210526315788,-1.0,-1.0
